1599987231072|23|statement|connection 0|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT             c.title,             c.cover,             c.lesson_num AS lessonNum,             CONVERT ( c.price, DECIMAL ( 8, 2 ) ) AS price,             s1.title AS subjectLevelOne,             s2.title AS subjectLevelTwo,             t.`name` AS teacherName         FROM             edu_course c             LEFT JOIN edu_teacher t ON c.teacher_id = t.id             LEFT JOIN edu_subject s1 ON c.subject_parent_id = s1.id             LEFT JOIN edu_subject s2 ON c.subject_id = s2.id         WHERE             c.id = ?|SELECT             c.title,             c.cover,             c.lesson_num AS lessonNum,             CONVERT ( c.price, DECIMAL ( 8, 2 ) ) AS price,             s1.title AS subjectLevelOne,             s2.title AS subjectLevelTwo,             t.`name` AS teacherName         FROM             edu_course c             LEFT JOIN edu_teacher t ON c.teacher_id = t.id             LEFT JOIN edu_subject s1 ON c.subject_parent_id = s1.id             LEFT JOIN edu_subject s2 ON c.subject_id = s2.id         WHERE             c.id = '1304806411112300546'
1599987875767|38|statement|connection 0|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305018494311464961')
1599987875850|37|statement|connection 0|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = ?)|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = '1305018494311464961')
1599989284165|14|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305018494311464961')
1599989284182|10|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = ?)|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = '1305018494311464961')
1599989288768|313|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305018494311464961')
1599989288787|12|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = ?)|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = '1305018494311464961')
1599989294527|11|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id = ?)|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id = '0')
1599989294546|11|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id <> ?)|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id <> '0')
1599989300096|10|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id = ?)|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id = '0')
1599989300110|16|statement|connection 11|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,name,intro,career,level,avatar,sort,is_deleted,gmt_create,gmt_modified  FROM edu_teacher   WHERE is_deleted=0|SELECT  id,name,intro,career,level,avatar,sort,is_deleted,gmt_create,gmt_modified  FROM edu_teacher   WHERE is_deleted=0
1599989300121|18|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id <> ?)|SELECT  id,title,parent_id,sort,gmt_create,gmt_modified  FROM edu_subject     WHERE (parent_id <> '0')
1599989317316|19|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|INSERT INTO edu_course  ( id, teacher_id, subject_id, subject_parent_id, title, price, lesson_num, cover, gmt_create, gmt_modified )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO edu_course  ( id, teacher_id, subject_id, subject_parent_id, title, price, lesson_num, cover, gmt_create, gmt_modified )  VALUES  ( '1305075903923040257', '1189426464967995393', '1304721743922937857', '1304721743742582786', 'test', 110, 10, 'https://dss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=1697850329,1416483110&fm=26&gp=0.jpg', '2020-09-13T17:28:37.292+0800', '2020-09-13T17:28:37.292+0800' )
1599989317343|19|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|INSERT INTO edu_course_description  ( id, description, gmt_create, gmt_modified )  VALUES  ( ?, ?, ?, ? )|INSERT INTO edu_course_description  ( id, description, gmt_create, gmt_modified )  VALUES  ( '1305075903923040257', '<p>11</p>', '2020-09-13T17:28:37.320+0800', '2020-09-13T17:28:37.320+0800' )
1599989317355|11|commit|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8||
1599989318020|13|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305075903923040257')
1599989318038|12|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = ?)|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = '1305075903923040257')
1599989332180|333|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|INSERT INTO edu_chapter  ( id, course_id, title, sort, gmt_create, gmt_modified )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO edu_chapter  ( id, course_id, title, sort, gmt_create, gmt_modified )  VALUES  ( '1305075964920803329', '1305075903923040257', '第一章 1', 1, '2020-09-13T17:28:51.835+0800', '2020-09-13T17:28:51.835+0800' )
1599989332217|16|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305075903923040257')
1599989332240|16|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = ?)|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = '1305075903923040257')
1599989347402|24|statement|connection 11|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|INSERT INTO edu_video  ( id, course_id, chapter_id, title, sort, gmt_create, gmt_modified )  VALUES  ( ?, ?, ?, ?, ?, ?, ? )|INSERT INTO edu_video  ( id, course_id, chapter_id, title, sort, gmt_create, gmt_modified )  VALUES  ( '1305076030058344450', '1305075903923040257', '1305075964920803329', '第一小节 11', 1, '2020-09-13T17:29:07.364+0800', '2020-09-13T17:29:07.364+0800' )
1599989347436|10|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = ?)|SELECT  id,course_id,title,sort,is_deleted,gmt_create,gmt_modified  FROM edu_chapter   WHERE  is_deleted=0 AND (course_id = '1305075903923040257')
1599989347452|11|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = ?)|SELECT  id,course_id,chapter_id,title,video_source_id,video_original_name,sort,play_count,is_free,duration,status,size,version,gmt_create,gmt_modified  FROM edu_video     WHERE (course_id = '1305075903923040257')
1599989374844|11|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT id,teacher_id,subject_id,subject_parent_id,title,price,lesson_num,cover,buy_count,view_count,version,status,is_deleted,gmt_create,gmt_modified FROM edu_course WHERE id=?  AND is_deleted=0|SELECT id,teacher_id,subject_id,subject_parent_id,title,price,lesson_num,cover,buy_count,view_count,version,status,is_deleted,gmt_create,gmt_modified FROM edu_course WHERE id='1305075903923040257'  AND is_deleted=0
1599989374862|13|statement|connection 10|url jdbc:p6spy:mysql://182.92.241.248:3306/guli?serverTimezone=GMT%2B8|SELECT id,description,gmt_create,gmt_modified FROM edu_course_description WHERE id=? |SELECT id,description,gmt_create,gmt_modified FROM edu_course_description WHERE id='1305075903923040257' 
